api,lat NAD83,long NAD83
05134373,30.459624,-96.655610
17734512,29.381601,-97.238925
17734511,29.382021,-97.240274
17734513,29.367758,-97.241963
17734514,29.364794,-97.238420
17734515,29.364610,-97.236103
17734494,29.520881,-97.238404
17734516,29.440200,-97.334930
17734517,29.439048,-97.335796
28732764,30.185600,-96.798070
14933545,29.864458,-96.861727
14933546,29.867574,-96.873286
17734511,29.382021,-97.240274
14933550,29.920283,-96.994753
28732765,30.088166,-96.902048
28732766,30.166725,-96.784591
14933547,30.177093,-96.810234
14933549,30.111532,-96.830129
05134372,30.457872,-96.662003
05134373,30.459624,-96.655610
33135119,30.771138,-96.983341
14933548,30.178808,-96.805526
28732767,30.178931,-96.796040
05134374,30.702776,-96.622469
14933539,29.761646,-97.260415
14933551,29.797784,-96.689847
47731229,30.272270,-96.514989
47731230,30.274862,-96.511655
17734376,29.403830,-97.304105
17734377,29.404480,-97.302016
17734518,29.403404,-97.305821
17734519,29.218847,-97.467572
17734520,29.219463,-97.466488
17734521,29.220511,-97.466017
17734522,29.221036,-97.465281
14933552,29.628669,-97.138188
14933553,29.628647,-97.140168
14933554,29.675378,-97.140363
14933555,29.674432,-97.138387
32731253,30.941048,-100.054575
28732768,30.236092,-96.755291
14933556,29.795361,-96.692148
05134375,30.725155,-96.665052
05134368,30.456977,-96.633399
05134369,30.460533,-96.627994
05134366,30.491463,-96.667660
05134367,30.488529,-96.671052
47731118,30.183098,-96.610984
05134279,30.438562,-96.671533
14933557,30.109663,-96.792480
17734509,29.501027,-97.255631
14933545,29.864458,-96.861727
14933546,29.867574,-96.873286
17734523,29.266726,-97.423691
17734524,29.270900,-97.428089
17734525,29.268330,-97.424486
17734526,29.273043,-97.425965
17734527,29.571202,-97.291669
14933547,30.177093,-96.810234
14933543,29.923674,-96.990945
47731231,30.263283,-96.660930
17734503,29.431805,-97.265202
47731232,30.221323,-96.632005
47731233,30.260791,-96.654603
47731234,30.262042,-96.650307
47731241,30.060250,-96.548162
47731240,30.063435,-96.546574
47731237,30.181236,-96.617319
47731238,30.179575,-96.620094
47731239,30.178500,-96.622990
47731235,30.183709,-96.606572
05134376,30.689996,-96.703952
47731236,30.184677,-96.602577
28730817,30.499996,-96.992359
33135120,30.792351,-96.941582
33135121,30.718365,-96.658952
28732765,30.088166,-96.902048
14933560,30.007620,-96.779710
14933558,30.061304,-96.809991
02131645,30.225321,-97.444976
28732769,30.233744,-96.759327
05535173,29.942681,-97.521174
14933562,29.967892,-96.739544
14933561,29.965962,-96.744001
14933559,30.085520,-96.841508
17734482,29.604227,-97.141279
05134377,30.723129,-96.671175
17734528,29.521674,-97.419169
17734529,29.638266,-97.190013
17734530,29.640579,-97.190455
17734531,29.641103,-97.189015
14933543,29.923674,-96.990945
14933550,29.920283,-96.994753
14933545,29.864458,-96.861727
14933546,29.867574,-96.873286
14933559,30.085520,-96.841508
17734454,29.463930,-97.495135
17734417,29.260856,-97.561821
17734532,29.422049,-97.249884
33135124,30.690847,-96.656951
17734513,29.367758,-97.241963
33135122,30.791300,-96.941000
17734533,29.331333,-97.366989
17734534,29.326174,-97.358416
17734535,29.333654,-97.365020
17734536,29.328346,-97.356517
17734537,29.337017,-97.363460
17734538,29.333022,-97.351998
17734539,29.336954,-97.355881
17734540,29.609791,-97.239125
17734541,29.611347,-97.238429
17734542,29.612597,-97.237654
28732766,30.166725,-96.784591
17734543,29.435392,-97.250794
17734544,29.429917,-97.248775
17734545,29.426248,-97.249125
28732764,30.185600,-96.798070
17734550,29.149833,-97.594477
33135123,30.831638,-96.713645
17734551,29.146435,-97.591797
17734549,29.148287,-97.590592
17734548,29.150207,-97.589319
17734546,29.387043,-97.547751
17734547,29.397204,-97.538827
05134361,30.467611,-96.622214
33135125,30.691027,-96.665811
28732766,30.166725,-96.784591
05134378,30.682927,-96.650780
32731254,30.889338,-99.743643
05134379,30.487477,-96.886592
14933552,29.628669,-97.138188
14933553,29.628647,-97.140168
47731244,30.221965,-96.612833
47731243,30.225755,-96.610906
47731242,30.227729,-96.606665
14933533,29.855516,-96.759146
14933534,29.849333,-96.762307
18733536,29.578483,-97.767984
17734552,29.414535,-97.356971
17734557,29.415280,-97.355990
17734553,29.412110,-97.360240
17734554,29.412719,-97.359410
17734555,29.413330,-97.358585
17734556,29.413921,-97.357779
05534817,29.716769,-97.732773
17734558,29.171251,-97.557083
17734532,29.422049,-97.249884
17734559,29.171739,-97.559417
47731246,30.244493,-96.493636
47731245,30.242685,-96.497847
33135123,30.831638,-96.713645
47731247,30.246394,-96.491505
28732770,30.234458,-96.774585
28732771,30.236670,-96.771763
28732772,30.238466,-96.768500
05134380,30.721351,-96.683456
49130496,30.524875,-97.489767
47731243,30.225755,-96.610906
17734466,29.465721,-97.270114
17734489,29.522741,-97.239563
17734452,29.437916,-97.491446
17734560,29.233501,-97.540736
05134377,30.723129,-96.671175
17734559,29.171739,-97.559417
28732773,30.059025,-96.906224
17734561,29.234950,-97.538878
17734562,29.246411,-97.553813
17734563,29.236797,-97.535211
47731248,30.259555,-96.545416
05134381,30.546283,-96.828570
05134382,30.543963,-96.833240
14933565,29.706775,-97.168662
14933566,29.708211,-97.168594
28732771,30.236670,-96.771763
14933563,29.970885,-96.685042
14933567,29.709646,-97.168731
14933568,29.711539,-97.168985
14933564,29.962885,-96.691353
28732772,30.238466,-96.768500
49130488,30.478570,-97.344400
05535175,29.756873,-97.700482
28732773,30.059025,-96.906224
05535177,29.748815,-97.703380
17734564,29.263637,-97.555574
17734565,29.264499,-97.554749
17734566,29.265418,-97.553873
17734567,29.266321,-97.553013
17734568,29.249086,-97.460158
17734569,29.247491,-97.464896
17734570,29.247893,-97.463696
17734571,29.248299,-97.462488
17734572,29.248699,-97.461304
17734573,29.341855,-97.342938
17734574,29.343241,-97.342309
17734575,29.343966,-97.341820
17734576,29.345646,-97.340679
17734579,29.349073,-97.339538
33135126,30.691027,-96.665811
17734580,29.352761,-97.336351
17734579,29.349073,-97.339538
17734580,29.352761,-97.336351
33135123,30.831638,-96.713645
02131646,30.339064,-97.357393
05134383,30.488518,-96.888919
33135093,30.714967,-96.667058
17734581,29.350617,-97.529914
05535178,29.754234,-97.709989
14933569,30.142395,-96.791715
14933570,30.144377,-96.788598
17734497,29.180176,-97.574079
17734498,29.171437,-97.556175
28732774,30.455012,-97.029809
14933571,29.939941,-96.598041
05134364,30.418959,-96.724191
05535179,29.752660,-97.696489
49130497,30.477953,-97.343522
14933572,30.145597,-96.784942
14933573,30.142428,-96.776442
47731249,30.267827,-96.620597
47731250,30.268589,-96.617047
47731252,30.270173,-96.609764
17734585,29.284463,-97.380820
17734582,29.278709,-97.371777
17734583,29.282773,-97.374710
17734584,29.279839,-97.370638
17734586,29.283714,-97.381562
14932489,29.728480,-97.202356
17734587,29.184904,-97.481272
17734588,29.182711,-97.480462
17734589,29.181535,-97.481059
17734590,29.177198,-97.477243
17734591,29.186167,-97.480808
14933567,29.709646,-97.168731
14933568,29.711539,-97.168985
18733701,29.697893,-97.754309
